_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10392282,Banyan Bungalow,Bungalow,Entire home/apt,Real Bed,2,300,flexible,06-03-2019 05:00,29-01-2016 05:00,19-02-2019 05:00,2,0,1,99,1,100,250,80,20,1,54,United States,US,21.57561,-158.1602,53507053,TRUE,United States,Bobby,100,1,12,321,27,53
10411341,Beautiful flat with services,Apartment,Entire home/apt,Real Bed,3,1125,Strict,11-02-2019 05:00,15-01-2016 05:00,22-01-2019 05:00,4,2,2,32,2,351,500,120,500,4,52,Brazil,BR,-22.98255731,-43.20577175,36696735,TRUE,Brazil,Liliane,100,2,3,316,18,41
10415637,(1) Beach Guest House - Go Make A Trip,Bed and breakfast,Private room,Real Bed,1,1125,flexible,11-02-2019 05:00,11-02-2016 05:00,22-09-2017 04:00,2,1,1,11,1,112,0,0,0,2,58,Brazil,BR,-23.00899169,-43.35397067,4765935,TRUE,Brazil,Rafael,100,8,24,309,45,60
10416859,"Studio convenient to CBD, beaches, street parking.",Guesthouse,Entire home/apt,Real Bed,2,3,moderate,07-03-2019 05:00,10-02-2016 05:00,23-09-2018 04:00,5,1,4,104,1,45,136,50,25,2,55,Australia,AU,-33.7975,151.26108,4548918,TRUE,Australia,Leslie,0,1,0,0,0,0
10423504,Bondi Beach Dreaming 3-Bed House,House,Entire home/apt,Real Bed,2,1125,Strict,07-03-2019 05:00,30-01-2016 05:00,11-11-2018 05:00,8,3,6,139,2,399,1000,185,35,6,55,Australia,AU,-33.8872,151.27448,2509326,TRUE,Australia,Cat,100,5,0,0,0,0
1042446,March 2019 availability! Oceanview on Sugar Beach!,Individual Apartments,Entire home/apt,Real Bed,4,1125,Strict,06-03-2019 05:00,28-04-2015 04:00,10-01-2019 05:00,4,1,3,19,1,229,0,95,0,1,52,United States,US,20.78621,-156.46881,5738969,FALSE,United States,Gage,100,1,5,228,26,35
10431455,Sala e quarto em copacabana com cozinha americana,Apartment,Entire home/apt,Real Bed,4,1125,flexible,11-02-2019 05:00,28-04-2015 04:00,04-01-2019 05:00,3,1,2,0,1,298,0,0,0,1,0,Brazil,BR,-22.9631493,-43.1779489,53729453,FALSE,Brazil,Tamara,0,1,0,0,0,0
10448594,Where Castles and Art meet the Sea,Apartment,Entire home/apt,Real Bed,5,1125,moderate,16-02-2019 05:00,15-05-2016 04:00,04-01-2019 05:00,4,1,2,13,2,80,500,30,0,1,55,Portugal,PT,41.17544,-8.68887,53059934,TRUE,Portugal,Jose,100,1,0,27,0,0
10449328,Aluguel Temporada Casa São Conrado,House,Entire home/apt,Real Bed,5,1125,flexible,11-02-2019 05:00,15-05-2016 04:00,31-08-2017 04:00,11,4,8,0,7,2499,0,0,0,1,0,Brazil,BR,-22.99391888,-43.27502007,33687645,TRUE,Brazil,Maria Pia,0,1,30,365,60,90
10458796,Homely Room in 5-Star New Condo@MTR,Individual Apartments,Private room,Real Bed,28,1125,Strict,11-03-2019 04:00,16-01-2016 05:00,31-08-2017 04:00,2,1,1,179,1,479,0,0,150,1,51,Hong Kong,HK,22.32074,114.17094,53247930,TRUE,Hong Kong,Crystal,100,5,0,3,3,3
